Text,TextLength,Complexity,Accuracy,ModelType_BERT,ModelType_Naive Bayes,ModelType_SVM
Renewable energy sources like wind and solar are crucial for reducing carbon emissions.,1.0,2,0.8235,False,False,True
The oil and gas industry faces challenges in meeting environmental regulations.,1.0,1,0.7652,False,True,False
Energy storage solutions are essential for balancing supply and demand in renewable energy.,2.0,3,0.7894,True,False,False
Hydropower is one of the oldest and most reliable forms of renewable energy.,3.0,2,0.8541,False,False,True
The transition to electric vehicles is expected to increase electricity demand significantly.,1.0,3,0.7126,False,True,False
Smart grids help in optimizing energy distribution and minimizing losses.,2.0,1,0.8792,True,False,False
Offshore wind farms have great potential for generating clean energy.,1.0,2,0.8219,False,False,True
Natural gas is often considered a bridge fuel in the transition to renewable energy.,3.0,3,0.6784,False,True,False
Energy efficiency measures can significantly reduce overall energy consumption.,1.0,1,0.8317,False,False,True
Battery technology advancements are key to the future of renewable energy.,2.0,2,0.7395,True,False,False
Nuclear energy provides a stable source of low-carbon electricity.,3.0,3,0.7821,False,False,True
Grid stability is a major concern as more intermittent renewable energy sources are integrated.,1.0,2,0.7025,False,True,False
Renewable energy sources like wind and solar are crucial for reducing carbon emissions.,3.0,3,0.7973,True,False,False
Wave and tidal energy projects are in early development stages but have promising potential.,3.0,2,0.8153,False,False,True
Fossil fuel subsidies continue to hinder the adoption of renewable energy.,1.0,3,0.6912,False,True,False
Carbon capture and storage technologies could mitigate emissions from fossil fuel power plants.,3.0,1,0.8456,True,False,False
The solar photovoltaic (PV) market has seen rapid growth in recent years.,1.0,2,0.8231,False,False,True
Advanced nuclear reactors promise increased safety and efficiency.,1.0,1,0.7685,False,True,False
Bioenergy is derived from organic materials like plants and waste.,2.0,3,0.7348,True,False,False
Energy policies play a critical role in shaping national energy markets.,3.0,2,0.8017,False,False,True
Green hydrogen is produced using renewable electricity and water electrolysis.,1.0,3,0.6994,False,True,False
Coal is still a major source of electricity generation in many countries.,3.0,1,0.8245,False,False,True
Distributed energy resources can support local energy needs.,1.0,2,0.7789,True,False,False
The International Energy Agency (IEA) provides guidance on global energy trends.,3.0,3,0.7543,False,False,True
Solar thermal technology uses the sun's heat to generate electricity.,2.0,1,0.8135,False,True,False
The energy demand in developing countries is growing rapidly.,1.0,2,0.7921,True,False,False
Wind turbine technology has advanced significantly over the past decade.,3.0,2,0.8226,False,False,True
